subj_code;condition; machine ; cutter_mention ; cutter_expressions ; balloon_mention ; balloon_expressions ; crossbow_mention ; crossbow_expressions ; wheel_mention ; wheel_expressions;i 2; cutter_mention 4; cutter_expressions 5; balloon_mention 7; balloon_expressions 8; crossbow_mention 10; crossbow_expressions 11; wheel_mention 13; wheel_expressions14
9RlLXMbET0Bu;1; functional ;0;  ;0;  ;0;  ;1; This runs, causes the small foot to turn the switch on;0;0;  ;0;  ;0;  ;0; 
X3tAtb2Yhlis;1; functional ;1; more suitable for cutting the string, cutting the string ;1; the weight is more suited to create the energy needed to propel the rocket ;1; star will pop the balloon, suction cup will not ;1; generate energy needed to move the wheel;1;1; cutting the string, more suitable for cutting ;0;  ;1; star will pop the balloon ;0; 
h8ae8dWcF9w1;1; functional ;1; generates power ;0;  ;0;  ;1; power, release the power to the bow and arrow;2;0;  ;0;  ;0;  ;0; 
PolsWhPpDqwB;1; functional ;0;  ;0;  ;0;  ;1; needs to run on the wheel;3;0;  ;0;  ;0;  ;0; 
k2XU1FGnEgjK;1; functional ;1; cut, pierce ;1; Weight., it's pulling down the balloon, it'll fall down ;1; would stick, will pop ;0; doesn't move;4;0; cut, pierce ;0; pulling down the balloon, fall down ;0;  ;0; 
9t1Sskxukdom;1; functional ;1; cut the rope ;0;  ;1; has to burst, can do this ;1; The mouse will turn the wheel;5;1; cut the rope, required to cut ;1; will land on the platform, sending the rocket up ;0;  ;0; 
MZnCMcltvZvi;1; functional ;1; Only a knife would cut the rope ;1; The kid is too large for the small platform ;1; pierce the balloon, knock it out of position ;1; will turn it;6;1; Only a knife would cut the rope ;0;  ;1; The star will pierce the balloon ;0; 
wpaBOdODCfeG;1; functional ;0;  ;1; to hold the balloon up in the air, holding up a light stick ;0;  ;0; ;7;0;  ;0;  ;0;  ;0; 
wV1i95ir1rbe;1; functional ;1; A knife would cut the string ;1; the arrow would pop the balloon, the balloon would in turn drop the weight, launch the rocket below ;0;  ;1; you would need to use the mouse to move to kick the switch, A wheel reflector would not cause any movement;8;1; A knife would cut the string, cut the string ;0;  ;0;  ;1; the mouse to move, move to kick the switch
y32ab7WwzSp9;1; functional ;1; cut ;1; heavier ;1; will burst the balloon ;1; will spin the wheel, generating energy, to power the knife above;9;1; will cut the rope ;1; heavier ;1; A pointed star, will burst the balloon ;0; 
HIaW31ixSw8v;1; functional ;1; wouldn't be able to hold the steak ;1; buoyancy, upward force produced by the buoyancy of the balloon ;0;  ;1; would turn the wheel;10;0;  ;0; downward force, the kids downward force ;0;  ;0; 
m8VkSAsPXGpd;1; functional ;1; will cause an acceleration to the machine, get the longer part in front of the blocked out part to move or work faster, will rotate, get the machine to speed up ;0; weighs less than the kid ;1; will be able to attacth onto the balloon, suck out the air out of it ;1; the mouse will run inside the wheel, the kicker (boot like object) will hit the switch, it will not be able to cause the wheel to move at all;11;0; will cause an acceleration to the machine, will rotate, get the machine to speed up ;0; looks like it weighs less than the kid ;1; attacth onto the balloon, suck out the air out of it ;0; the mouse will run inside the wheel
BK5XwW2P5R4u;1; functional ;0; belongs on something more kitchen/food orientated, more versatile ;0;  ;1; this mechanism looks like its all connected, and creates energy, could be used to connect the middle compartment ;1; running inside the wheel, creating energy;12;0;  ;1; looks like they are holding the string of the balloon, holding the string of the balloon ;0; the end looks like a bow and arrow, the star looks more like the arrow than the suction cup ;0; 
