subj_code;condition;desktop_conf;attent_conf;machine_type;sel_comp_cutter;expl_cutter;sel_comp_wheel;expl_wheel;sel_comp_crossbow;expl_crossbow;sel_comp_balloon;expl_balloon;mem_check;mem_check_correct;age;gender;tech_issues;recorded_at
9RlLXMbET0Bu;1;1: I confirm;1: I will take it seriously;functional;correct;This could be used to cut the next part in the process, releasing whatever is set in the bow mechanism;correct;This runs and causes the small foot to turn the switch on;correct;The star will be fired to pop the balloon;correct;The weight falls and it will cause the rocket to launch;3: A toy car.;correct;58;1: male;NA;17.10.2025 08:17
X3tAtb2Yhlis;1;1: I confirm;1: I will take it seriously;functional;correct;knife is more suitable for cutting the string;correct;it can generate energy needed to move the wheel;correct;star will pop the balloon, suction cup will not;correct;the weight is more suited to create the energy needed to propel the rocket;3: A toy car.;correct;55;1: male;NA;17.10.2025 08:18
h8ae8dWcF9w1;1;1: I confirm;1: I will take it seriously;functional;incorrect;Maybe when it turns, it generates power to launch the bow.;incorrect;I think this helps with breaks, when the button is pressed it helps release the power to the bow and arrow.;incorrect;The suction cup will stick on the object (eg wall) where it will land after the bow has been pulled.;incorrect;The kid is holding the baloon string, it is more suitable to have the kid there.;3: A toy car.;correct;40;2: female;No;17.10.2025 08:19
PolsWhPpDqwB;1;1: I confirm;1: I will take it seriously;functional;correct;Presume it cuts the band;correct;Presume it needs to run on the wheel to get it going;correct;point needed to burst balloon;correct;balloon pops and weight flips rocket up;3: A toy car.;correct;39;1: male;NA;17.10.2025 08:22
k2XU1FGnEgjK;1;1: I confirm;1: I will take it seriously;functional;correct;A knife can cut or pierce in that rotating mechanism;correct;A wheel reflector doesn't move while the mouse will move and generate motion to the next mechanism;correct;A suction cup would stick unlikly to pop the balloon, while star will pop the balloon;correct;Weight. this is because it's pulling down the balloon and it'll fall down while the child is adds unpredictability;3: A toy car.;correct;25;1: male;The study was clear no errors;17.10.2025 08:22
9t1Sskxukdom;1;1: I confirm;1: I will take it seriously;functional;correct;The knife is required to cut the rope so the arrow can be fired, and the which is not able to cut ;correct;The mouse will turn the wheel which the wheel reflector is unable to do.;correct;The balloon has to burst, so the arrow with the star on it can do this, unlike the one with the suction cup.;correct;To launch the rocket the weight is required as it will land on the platform sending the rocket up, however, the kid will burst the balloon ensuring none of the actions will be completed.;3: A toy car.;correct;52;1: male;N/A;17.10.2025 08:23
MZnCMcltvZvi;1;1: I confirm;1: I will take it seriously;functional;correct;"Only a knife would cut the rope; it's not clear what purpose a whisk serves";correct;The mouse running inside the wheel will turn it, whereas the wheel reflector serves no purpose.;correct;The star will pierce the balloon, whereas the suction cup would knock it it out of position.;correct;The kid is too large for the small platform, and won't hit it in the correct place to launch the rocket.;3: A toy car.;correct;26;1: male;None, well designed study.;17.10.2025 08:25
wpaBOdODCfeG;1;1: I confirm;1: I will take it seriously;functional;incorrect;Whisk is more appropriate here. ;incorrect;Wheel reflector is more suitable for the covered part as it is part of a wheel. ;incorrect;The suction cup is more suitable here as it is part of the wheel system components. ;incorrect;Kid is more appropriate in this case. The kid is holding up a light stick to hold the balloon up in the air. ;3: A toy car.;correct;37;1: male;No errors;17.10.2025 08:28
wV1i95ir1rbe;1;1: I confirm;1: I will take it seriously;functional;correct;A knife would cut the string to release the bow into the balloon to continue the chain reaction ;correct;I feel like you would need to use the mouse to move to kick the switch. A wheel reflector would not cause any movement. ;correct;A star would make the most sense to pop the balloon. ;correct;There feels like a lot of dangerous items about - I feel it would make more sense to use a weight than a child. I would assume the arrow would pop the balloon which would in turn drop the weight and launch the rocket below. A child would be standing on the floor and thus not having the chain reaction intended. ;3: A toy car.;correct;31;2: female;N/A;17.10.2025 08:31
y32ab7WwzSp9;1;1: I confirm;1: I will take it seriously;functional;correct;A knife will cut the rope to fire the arrow ;correct;A mouse will spin the wheel, generating energy to power the knife above ;correct;"A pointed star will burst the balloon to release the 'weight' and launch the rocket; suction cup will not burst the balloon";correct;A weight is heavier and thus, will propel the rocket upward ;3: A toy car.;correct;46;1: male;no errors noticed ;17.10.2025 08:38
HIaW31ixSw8v;1;1: I confirm;1: I will take it seriously;functional;correct;The knife is in the steak. and the whisk wouldn't be able to hold the steak.;correct;Because a mouse would turn the wheel, and a wheel reflector would not.;correct;Because the would pop the balloon allowing the weight to fall onto the bar causing it to pivot and launch the rocket.;correct;Because the kids downward force would overcome the upward force produced by the buoyancy of the balloon;3: A toy car.;correct;41;2: female;NA;17.10.2025 08:38
m8VkSAsPXGpd;1;1: I confirm;1: I will take it seriously;functional;incorrect;I chose the whisk because it will cause an acceleration to the machine and get the longer part in front of the blocked out part to move or work faster. A knife is useless in this situation because this machine is about getting it to speed up and a whisk will rotate and get the machine to speed up not a knife. ;correct;Because the mouse will run inside the wheel causing it to ramp up and the kicker (boot like object) will hit the switch and charge up the wire. I did not use the wheel reflector because it will not be able to cause the wheel to move at all. ;incorrect;Because when the section cup is launched it will be able to attacth onto the balloon and suck out the air out of it, I did not choose the star because it might cause the balloon to pop. ;correct;i chose the weight because it looks like it weighs less than the kid and also this seems a bit dangerous and I think this is just an experiment and the best thing to use is a none living object so the kid does not get hurt. ;3: A toy car.;correct;31;2: female;I was confused at the memory test because we had to choose an object that was not part of the experiment and I did not see a toy car(unless this was the spaceship) or a crossbow (unless these were the suction cup or star). So it was pretty confusing, so I do not know if this was an error. ;17.10.2025 08:38
BK5XwW2P5R4u;1;1: I confirm;1: I will take it seriously;functional;correct;I wouldn't say either is more suitable but a whisk probably belongs on something more kitchen/food orientated but the knife is probably a little more versatile.;correct;I would say mouse because I can imagine seeing them running inside the wheel and creating energy so the other parts move as well and they are all connected. ;correct;I think this mechanism looks like its all connected so if the mouse runs on the wheel and creates energy then the metal knife could be used to connect the middle compartment. The end looks like a bow and arrow so the star looks more like the arrow than the suction cup so that's my reasoning. ;incorrect;I think that the kid would be more suitable because the child already looks like they are holding the string of the balloon. ;3: A toy car.;correct;38;2: female;no errors :);17.10.2025 08:40
3W8J6qqY6d50;1;1: I confirm;1: I will take it seriously;functional;correct;It looks like the knife would be more efficient to cut what looks like meat.;correct;A mouse is typically seen on a wheel.  This would be the more logical component needed to complete the picture.;incorrect;This looks like a bow and arrow alternative.  The suction cup would be more suitable to aim at a target and hit the target.;correct;The weight would be more appropriate to hold the balloon in place.;3: A toy car.;correct;53;2: female;none;17.10.2025 08:41
7yrQJBh03aHA;1;1: I confirm;1: I will take it seriously;functional;incorrect;The whisk will cause the mechanism for the bow to wind up and there generate power to release the arrow;correct;The mouse running on the wheel will generate power for the foot to be able to kick the switch and activate it;incorrect;The suction cup will allow the arrow to stick to the balloon and weight it down so the little girl can pop the balloon;incorrect;If the girl stands on the ledge she can pop the balloon with the pin she is holding, and therefore pop it;3: A toy car.;correct;52;2: female;No;17.10.2025 08:42
X0UOVM9FgwCg;1;1: I confirm;1: I will take it seriously;functional;incorrect;electricly driven, and will turn to set off the crossbow;correct;mouse will turn the wheel, in turn switching on the electric for the whisk to work.;correct;sharper, so will burst the balloon;correct;will drop when the balloon bursts and will thus launch the rocket.;3: A toy car.;correct;70;1: male;NA;17.10.2025 08:45
C9SmNfoCdd6z;1;1: I confirm;1: I will take it seriously;functional;correct;A knife will cut the string, or be more likely to, than a whisk.;correct;A mouse will run in the wheel and cause it to spin.;incorrect;A suction cup will allow the arrow to stick to whatever it lands on;correct;The kid would weight the balloon down too much.;3: A toy car.;correct;37;2: female;n/a;17.10.2025 08:48
yHExA8iMGRVW;1;1: I confirm;1: I will take it seriously;functional;correct;Knife cuts the string which holds the bow at tension. Then the arrow is released.;correct;Mouse spins the wheel which then hits the switch to start the sequence of events.;correct;The star would be sharp to pop the balloon.;correct;Once the balloon pops, the weight drops on the see-saw to launch the rocket.;3: A toy car.;correct;40;1: male;NA;17.10.2025 08:49
MvdA1fW6kgm2;1;1: I confirm;1: I will take it seriously;functional;correct;i'm assuming the knife will cut something in order make a release, which would enable the bow to shoot something. a whisk would not make anything release;correct;a mouse would make the wheel spin which would then flip the switch. a wheel reflector would not provide any movement;correct;the star is pointed so it would burst the balloon which would then make the item drop. a suction cup wouldnt pierce the balloo, it would just stick to it at best or deflect off of it. if it stuck the balloon it might add enough extra weight to make the balloon drop, but even then the star bursting the balloon would be more effective in doing that. ;correct;a weight is more suitable because it would stay on the balloon. a child could get tired and let go before the experiment is done. ;3: A toy car.;correct;33;1: male;NA;17.10.2025 08:53
c5P1kNssrBds;1;1: I confirm;1: I will take it seriously;functional;incorrect;The part the whisk would be attached to appears to be motorised, thus a whisk would seem more suitable. Equally it appears that as the whisk turns it would tighten the strings causing the bow and arrow to be pulled back and ready to fire. ;correct;The mouse can move inside the wheel to turn it around and therefore begin the sequence of events.;correct;The star should hit the balloon, popping it and then dropping the weight. This is more suitable to allow the chain reaction of events to continue.;correct;The kid is probably too heavy to be lifted up by a balloon. Whereas the weight can be lifted up by the balloon, until the balloon is dropped and it hits the plank below causing the rocket to fire into the air. ;3: A toy car.;correct;38;2: female;NA;17.10.2025 08:54
QeV25zRJismP;1;1: I confirm;1: I will take it seriously;functional;correct;I think the knife is used as a sharp instrument to cut a cord that the whisk would not;correct;The mouse will cause a forward motion that sets the contraption in to action whereas the reflector would not cause any action;correct;I think that the sharp edge of the star is intended to burst the balloon to drop the weight and set off the rocket, the suction cup is not likely to burst the balloon;correct;The weight and height of the child is unlikely to be suitable for this scenario;3: A toy car.;correct;35;2: female;NA;17.10.2025 11:58
TM6iIGpfsDP4;1;1: I confirm;1: I will take it seriously;functional;correct;This component needs to sever the cord keeping the star in place, which will release it into the balloon.  A whisk won't achieve this, but a knife will.;correct;It looks as though the wheel needs to power the whole setup, which can be generated by the mouse running.  I'm not sure how a wheel reflector would do this.;correct;This component needs to pop the balloon in order for the weight to fall - a suction cup won't achieve this, but a pointed star will.;correct;Either one of these could probably work once the balloon pops but the weight is smaller and less likely to obstruct the rocket, and will have a controlled descent whereas the kid might be all over the place.;3: A toy car.;correct;44;1: male;NA;17.10.2025 11:58
shM37apwSU2m;1;1: I confirm;1: I will take it seriously;functional;correct;The knife would be able to go through the hole release the string then the bow can fire the arrow accordingly.;correct;Because a mouse makes more sense in the wheel than the alternative.;incorrect;The star would most likely burst the baloon which wouldn't be nice so it makes more sense for the suction cup to latch onto it.;incorrect;Makes more sense for a kid to hold a balloon than the weight;3: A toy car.;correct;20;1: male;Nope none;17.10.2025 11:58
n6vQj2XBiCau;1;1: I confirm;1: I will take it seriously;functional;correct;I believe a knife is needed to cut the line holding the bow string back so that the arrow can be released.;correct;The mouse is needed to propel or run the wheel to power the apparratus, the reflector would provide no power.;incorrect;The suction cup on the tip of the arrow will allow the arrow to stick where it is aimed. Otherwise the star on the arrow would not stick on it's target but just fall to the ground.;incorrect;The kid is needed to hold on to the balloon and enjoy the balloon. The weight would just hold the balloon down and that would not be enjoyable.;3: A toy car.;correct;71;1: male;No errors, everything was perfect, thank you! A very interesting and fun study, best wishes with your research!;17.10.2025 11:58
1KB2Zc6n8WF9;1;1: I confirm;1: I will take it seriously;functional;incorrect;I choose the whisk as it could turn;incorrect;could be attached to the wheel;correct;I choose the star what the doll could be holding;correct;I choose the weight so it could go up and down;3: A toy car.;correct;55;2: female;none;17.10.2025 11:58
DZAJCtk64QKv;1;1: I confirm;1: I will take it seriously;functional;incorrect;I think the whisk will generate air to make the device work better;correct;It will generate movement and power;incorrect;I don't think the star has any purpose with the device and therefore think that the suction cup has a better fit for prupose;correct;I think the weight will be a dedicated heaviness in order to make the mechanics work properly;3: A toy car.;correct;56;1: male;everything was good with no problems;17.10.2025 11:59
DGv8j4mu0ZZR;1;1: I confirm;1: I will take it seriously;functional;incorrect;Maybe the whisk can generate electricity if turned;correct;It appears to be a rotating wheel, i would expect a mouse to be able to turn it;correct;Something sharp that will pop the balloon;incorrect;The kid looks to be holding the bottom part of the balloon;3: A toy car.;correct;27;1: male;NA;17.10.2025 12:00
M3QYwx78vTI7;1;1: I confirm;1: I will take it seriously;functional;correct;I assume it will be used to cut the rope and a whisk would not be able to do this.;incorrect;I assume the mouse will run away ;correct;I assume it will need to pop the baloon and a suction cup wouldnt be able to do this.;correct;Looking at the size of the kid they will fall too quickly and break the board and rocket.;3: A toy car.;correct;42;1: male;NA;17.10.2025 12:00
rmxwnX290kK7;1;1: I confirm;1: I will take it seriously;functional;correct;The knife would cut the cord and release the arrow;incorrect;The wheel reflector would do an appropriate job without having to use a mouse as part of the project.;correct;You don't typically see arrows with stars on the end, rather suction cups or standard triangular points but the star would pop the balloon whereas the suction cup wouldn't;correct;The weight is more ethical and practical;3: A toy car.;correct;29;2: female;none;17.10.2025 12:00
O2WUUf8XswxK;1;1: I confirm;1: I will take it seriously;functional;correct;You'd need something to cut the string, which only a knife can do.;correct;You would need the wheel to turn and the mouse running inside it would make that happen.;correct;You'd need something to pop the balloon and the star is sharp.;correct;You'd need something to hold down the balloon;3: A toy car.;correct;32;2: female;None;17.10.2025 12:01
LZ0FqTqH7xVh;1;1: I confirm;1: I will take it seriously;functional;incorrect;A whisk is a tool that is made of several small wires that can rotate or move inorder to mix things up. The shape and structure of a whisk makes it best fit for a machine that requires spinning its parts, whereas a knife is built to cut and not rotate or mix because e of its sharp edge hence it is unsustainable. ;incorrect;I choose the wheel reflector because it is more appropriate for this part since it is built to rotate smoothly around a wheel or an area where reflection is needed. Whereas,a mouse is a living thing and not a manufactured object and so does not have the function that will allow for its rotation. ;incorrect;A suction cup is mechanically designed to attach to smooth or flat surfaces making it best fit for machines that requires a temporary grip for objects.On the hand a star shaped bow will not hold nor support a machine. ;correct;A weight is a solid object that can provide balance within a machine, whereas a kid is a living thing not a component. ;3: A toy car.;correct;45;1: male;no errors ;17.10.2025 12:02
uhQdcM3Yfkkv;1;1: I confirm;1: I will take it seriously;functional;correct;The knife has a sharp end capable of cutting through material. In this case, I assume the knife will cut the string which holds tension, so that the component at the tip can become a projectile.;correct;The mouse creates the energy needed to spin the wheel by running on it and causing it to endlessly spin. This makes sense because the next section of the design seems to be a string which supposedly will tighten as the mouse cycles on the wheel.;incorrect;The suction cup makes more sense as a suitable component. I assume once the suction cup is released and becomes a projectile, it is designed to stick onto the desired target.;correct;The weight is considerably smaller in size compared to the kid's. Therefore, the weight can easily fit onto the small makeshift wheeled platform, whereas the kid cannot.;3: A toy car.;correct;27;1: male;I don't remember seeing a crossbow either.;17.10.2025 12:03
btyfobEJOnkY;1;1: I confirm;1: I will take it seriously;functional;incorrect;If a whisk runs, it will wind up the bow creating tension allowing the arrow to shoot;correct;A mouse as it will move causing the wheel to turn, in action setting of the arrow;incorrect;It would allow the arrow to have some purpose, a star would have no benefit;incorrect;I imagine a child is likely holding the balloon;3: A toy car.;correct;21;2: female;NA;17.10.2025 12:06
